# sid	tripitaka	name	lqsutra	total_reels	remark
GL003170	GL	觀自在菩薩隨心呪經	LQ011361	1	
GL003180	GL	種種雜呪經	LQ013850	1	
GL003190	GL	佛說佛頂尊勝陀羅尼經	LQ009870	1	
GL003200	GL	佛頂最勝陀羅尼經	LQ009851	1	
GL003210	GL	佛頂尊勝陀羅尼經	LQ009830	1	
GL003220	GL	最勝佛頂陀羅尼淨除業障呪經	LQ009860	1	
GL003230	GL	佛頂尊勝陀羅尼經	LQ009840	1	
GL003240	GL	佛說無量門微密持經	LQ010320	1	
GL003250	GL	佛說出生無量門持經	LQ010330	1	
GL003260	GL	無量門破魔陀羅尼經	LQ010360	1	
GL003270	GL	阿難陀目佉尼呵離陀經	LQ010350	1	
GL003280	GL	佛說阿難陀目佉尼呵離陀隣尼經	LQ010340	1	
GL003290	GL	舍利弗陀羅尼經	LQ010370	1	
GL003300	GL	佛說一向出生菩薩經	LQ010310	1	
GL003310	GL	出生無邊門陀羅尼經	LQ010380	1	
GL003320	GL	勝幢臂印陀羅尼經	LQ014100	1	
GL003330	GL	妙臂印幢陀羅尼經	LQ014110	1	
GL003340	GL	佛說無崖際摠持法門經	LQ013890	1	
GL003350	GL	尊勝菩薩所問一切諸法入無量門陀羅尼經	LQ013900	1	
GL003360	GL	金剛上味陀羅尼經	LQ013920	1	
GL003370	GL	金剛場陀羅尼經	LQ013910	1	
GL003380	GL	如來方便善巧呪經	LQ011830	1	
GL003390	GL	佛說花聚陀羅尼呪經	LQ014050	1	
GL003400	GL	佛說師子奮迅菩薩所問經	LQ014040	1	
GL003410	GL	佛說六字神呪王經	LQ010671	1	
GL003420	GL	佛說善法方便陀羅尼經	LQ011740	1	
GL003430	GL	金剛秘密善門陀羅尼呪經	LQ011751	1	
GL003440	GL	佛說華積陀羅尼神呪經	LQ014030	1	
GL003450	GL	佛說六字呪王經	LQ010660	1	
GL003460	GL	虛空藏菩薩問七佛陀羅尼呪經	LQ011820	1	
GL003470	GL	佛說持句神呪經	LQ013980	1	
GL003480	GL	佛說陀隣尼鉢經	LQ013990	1	
GL003490	GL	東方最勝燈王陀羅尼經	LQ013970	1	
GL003500	GL	東方最勝燈王如來經	LQ013960	1	
GL003510	GL	護命法門神呪經	LQ011730	1	
GL003520	GL	無垢淨光大陀羅尼經	LQ010450	1	
GL003530	GL	請觀世音菩薩消伏毒害陀羅尼呪經	LQ010650	1	
GL003540	GL	佛說寶網經	LQ006060	1	
GL003550	GL	菩薩行五十緣身經		1	行356:存疑C,龙泉编号为空
GL003560	GL	佛說梵志女首意經	LQ006970	1	
GL003570	GL	佛說四不可得經	LQ008120	1	
GL003580	GL	私呵昧經	LQ006750	1	
GL003590	GL	菩薩生地經	LQ006760	1	
GL003600	GL	大方等如來藏經	LQ007600	1	
GL003610	GL	佛說內藏百寶經	LQ008240	1	
GL003620	GL	佛說須賴經	LQ003600	1	
GL003630	GL	佛說成具光明定意經	LQ007310	1	
GL003640	GL	佛說演道俗業經	LQ008380	1	
GL003650	GL	佛說百佛名經	LQ006070	1	
GL003660	GL	佛說諸德福田經	LQ007770	1	
GL003670	GL	佛說溫室洗浴衆僧經	LQ007940	1	
GL003680	GL	佛語經	LQ008490	1	
GL003690	GL	佛說菩薩修行經	LQ003620	1	
GL003700	GL	金色王經	LQ002220	1	
GL003710	GL	佛說稱揚諸佛功德經	LQ005950	3	
GL003720	GL	佛說須眞天子經	LQ007130	4	
GL003730	GL	摩訶摩耶經	LQ004180	2	
GL003740	GL	佛說除恐災患經	LQ008050	1	
GL003750	GL	佛說孛經抄	LQ008230	1	
GL003760	GL	觀世音菩薩授記經	LQ004040	1	
GL003770	GL	佛說海龍王經	LQ007180	4	
GL003780	GL	佛說首楞嚴三昧經	LQ007420	2	
GL003790	GL	佛說觀藥王上二菩薩經	LQ011990	1	
GL003800	GL	佛說觀普賢菩薩行法經	LQ003080	1	
GL003810	GL	不思議光菩薩所說經	LQ006540	1	
GL003820	GL	最勝問菩薩十住除垢斷結經	LQ003410	10	
GL003830	GL	佛說未曾有因緣經	LQ008060	2	
GL003840	GL	諸佛要集經	LQ008270	2	
GL003850	GL	菩薩瓔珞經	LQ007550	14	
GL003860	GL	佛說超日明三昧經	LQ007380	2	
GL003870	GL	賢劫經	LQ005940	8	
GL003880	GL	大法炬陀羅尼經	LQ013870	20	
GL003890	GL	大威德陀羅尼經	LQ013880	20	
GL003900	GL	佛說佛名經	LQ006100	12	
GL003910	GL	過去莊嚴劫千佛名經	LQ006141	1	
GL003920	GL	現在賢劫千佛名經	LQ006144	1	
GL003930	GL	未來星宿劫千佛名經	LQ006146	1	
GL003940	GL	五千五百佛名神呪除障滅罪經	LQ006130	8	
GL003950	GL	佛說不思議功德諸佛所護念經	LQ006080	2	
GL003960	GL	佛說華手經	LQ007560	10	
GL003970	GL	大方等陀羅尼經	LQ013860	4	
GL003980	GL	僧伽吒經	LQ004650	4	
GL003990	GL	力莊嚴三昧經	LQ007470	3	
GL004000	GL	大方廣圓覺修多羅了義經	LQ008570	1	
GL004010	GL	佛說觀佛三昧海經	LQ007430	10	
GL004020	GL	大方便佛報恩經	LQ002160	7	
GL004030	GL	佛說菩薩本行經	LQ002150	3	
