龍泉編碼	实体经名	中华藏编号	卷序号	实际卷数	起始册码	终止册码	
LQ0807	佛說法集經	ZH0433	6	6	22	22	
LQ0749	觀察諸法行經	ZH0434	4	4	22	22	
LQ0419	菩薩處胎經	ZH0435	7	7	22	22	
LQ0735	佛說弘道廣顯三昧經	ZH0436	4	4	22	22	
LQ0795	佛說施燈功德經	ZH0437	1	1	22	22	
LQ0655	無所有菩薩經	ZH0438	4	4	23	23	
LQ0139	央掘魔羅經	ZH0439	4	4	23	23	
LQ0439	佛說明度五十校計經	ZH0440	2	2	23	23	
LQ0636	文殊師利問經	ZH0441	2	2	23	23	
LQ0839	大方廣如來秘密藏經	ZH0442	2	2	23	23	
LQ0420	中陰經	ZH0443	2	2	23	23	
LQ0651	佛說月上女經	ZH0444	2	2	23	23	
LQ0301	大法鼓經	ZH0445	2	2	23	23	
LQ0775	大乘密嚴經	ZH0446	3	3	23	23	
LQ0629	文殊師利問菩薩署經	ZH0447	1	1	23	23	
LQ0786	佛說大乘造像功德經	ZH0448	2	2	23	23	
LQ0421	蓮華面經	ZH0449	2	2	23	23	
LQ0854	占察善恶業報經	ZH0450	2	2	23	23	
LQ1027-1	廣大寶樓閣善住秘密陀羅尼經	ZH0451	3	3	23	23	
LQ0969	五佛頂三昧陀羅尼經	ZH0453	4	4	23	23	
LQ1222	大陀羅尼末法中一字心呪經	ZH0454	1	1	23	23	
LQ0968	一字佛頂輪王經	ZH0455	5	5	23	23	
LQ0962	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	ZH0456	10	10	23	23	
LQ0865	大毗廬遮那成佛神變加持經	ZH0457	7	7	23	23	
LQ0914-1	蘇婆呼童子請問經	ZH0458	3	3	23	23	
LQ0884	金剛頂瑜伽中略出念誦經	ZH0459	4	4	23	23	
LQ1028	牟梨曼陀羅呪經	ZH0460	1	1	23	23	
LQ0912-1	蘇悉地羯羅供養法	ZH0461	3	3	23	23	
LQ0911-1	蘇悉地羯羅經	ZH0462	4	4	23	23	有两部，一部3卷，一部4卷
LQ1382	七佛所說神呪經	ZH0465	4	4	23	23	
LQ1383	大吉義神呪經	ZH0466	4	4	23	23	
LQ1225	佛説文殊師利法寶藏陀羅尼經	ZH0467	1	1	23	23	
LQ1226	文殊師利法寶藏陀羅尼經	ZH0468	1	1	23	23	
LQ1048-1	金剛光焰止風雨陀羅尼經	ZH0469	1	1	23	23	
LQ1401	佛說安宅陀羅尼呪經 	ZH0470	1	1	24	24	
LQ1425-1	佛說玄師颰陀所說神呪經 	ZH0471	1	1	24	24	
LQ1425-2	幻師颰陀神呪經(別本) 	ZH0472	1	1	24	24	
LQ1049-1	佛說護諸童子陀羅尼經 	ZH0473	1	1	24	24	
LQ1068	六字大陀羅尼呪經 	ZH0474	1	1	24	24	
LQ1278	阿吒婆拘鬼神大將上佛陀羅尼神咒經 	ZH0475	1	1	24	24	
LQ1414	佛說大普賢陀羅尼經 	ZH0476	1	1	24	24	
LQ1415	佛說大七寶陀羅尼經 	ZH0477	1	1	24	24	
LQ0936	諸佛心陀羅尼經 	ZH0478	1	1	24	24	
LQ0403	阿彌陀鼓音聲王陀羅尼經 	ZH0479	1	1	24	24	
LQ1412	八名普密陀羅尼經 	ZH0480	1	1	24	24	
LQ1441	拔濟苦難陀羅尼經 	ZH0481	1	1	24	24	
LQ1406	六門陀羅尼經 	ZH0482	1	1	24	24	
LQ1200	持世陀羅尼經 	ZH0483	1	1	24	24	
LQ1060	清淨觀世音普賢陀羅尼經 	ZH0484	1	1	24	24	
LQ0615	佛說千佛因緣經 	ZH0485	1	1	24	24	
LQ0424	佛垂般涅槃略說教誡經 	ZH0486	1	1	24	24	
LQ1422	佛說莊嚴王陀羅尼呪經 	ZH0487	1	1	24	24	
LQ1192	佛說隨求即得大自在陀羅尼神咒經 	ZH0488	1	1	24	24	
LQ1421	佛說一切功德莊嚴王經 	ZH0489	1	1	24	24	
LQ1168	諸佛集會陀羅尼經 	ZH0490	1	1	24	24	
LQ1442	佛說拔除罪障呪王經 	ZH0491	1	1	24	24	
LQ1416-1	百千印陀羅尼經 	ZH0492	1	1	24	24	
LQ1416-2	百千印陀羅尼經(別本) 	ZH0493	1	1	24	24	
LQ1196	香王菩薩陀羅尼呪經 	ZH0494	1	1	24	24	
LQ1409	佛說善夜經 	ZH0495	1	1	24	24	
LQ0242	佛說鹿母經 	ZH0496	1	1	24	24	
LQ0699	佛說賢首經 	ZH0498	1	1	24	24	
LQ0698	佛說心明經 	ZH0499	1	1	24	24	
LQ0602	佛說滅十方冥經 	ZH0500	1	1	24	24	
LQ0774	佛說佛地經 	ZH0501	1	1	24	24	
LQ0714	佛說魔逆經(別本) 	ZH0503	1	1	24	24	
LQ1212	金剛頂經曼殊室利菩薩五字心陀羅尼品 	ZH0504	1	1	24	24	
LQ0229	佛說月明菩薩經 	ZH0505	1	1	24	24	
LQ0852	佛說出生菩提心經 	ZH0506	1	1	24	24	
LQ0183	異出菩薩本起經 	ZH0507	1	1	24	24	
LQ0640	佛說文殊師利般涅槃經 	ZH0508	1	1	24	24	
LQ0722	佛說佛印三昧經 	ZH0509	1	1	24	24	
LQ1119	觀自在如意輪菩薩瑜伽法要 	ZH0510	1	1	24	24	
LQ1180	虛空藏菩薩能滿諸願最勝心陀羅尼求聞持法 	ZH0511	1	1	24	24	
LQ1355	佛說救面然餓鬼陀羅尼神咒經 	ZH0512	1	1	24	24	
LQ1357	佛說甘露經陀羅尼咒 	ZH0513	1	1	24	24	
LQ1358	甘露陀羅尼呪 	ZH0514	1	1	24	24	
LQ1444	智炬陀羅尼經 	ZH0515	1	1	24	24	
LQ0842	諸法最上王經 	ZH0516	1	1	24	24	
LQ0230	佛說德光太子經 	ZH0517	1	1	24	24	
LQ0426	般泥洹後灌臘經 	ZH0518	1	1	24	24	
LQ0715	商主天子所問經 	ZH0519	1	1	24	24	
LQ0748	寂照神變三摩地經 	ZH0520	1	1	24	24	
LQ0600	佛說八部佛名經 	ZH0521	1	1	24	24	
LQ0657	離垢慧菩薩所問禮佛法經 	ZH0522	1	1	24	24	
LQ0702	佛說堅固女經 	ZH0523	1	1	24	24	
LQ0223	佛說妙色王因緣經 	ZH0524	1	1	24	24	
LQ0793	右繞佛塔功德經 	ZH0525	1	1	24	24	
LQ0425	佛臨涅槃記法住經 	ZH0526	1	1	24	24	
LQ0605	受持七佛名号所生功德經 	ZH0527	1	1	24	24	
LQ0816	大乘四法經 	ZH0528	1	1	24	24	
LQ0656	師子莊嚴王菩薩請問經 	ZH0529	1	1	24	24	
LQ0224	佛說師子素馱娑王斷肉經 	ZH0530	1	1	24	24	
LQ0701	差摩婆帝授記經 	ZH0531	1	1	24	24	
LQ0696	有德女所問大乘經 	ZH0532	1	1	24	24	
LQ0762	佛說不增不減經 	ZH0533	1	1	24	24	
LQ0703	佛說大乘流轉諸有經 	ZH0534	1	1	24	24	
LQ0721	佛為海龍王說法印經 	ZH0535	1	1	24	24	
LQ0792	佛說造塔功德經 	ZH0536	1	1	24	24	
LQ0237	佛說大意經 	ZH0537	1	1	24	24	
LQ0706	優婆夷淨行法門經 	ZH0538	2	2	24	24	
LQ0744	佛說金剛三昧本性清淨不壞不滅經 	ZH0539	1	1	24	24	
LQ0236	佛說師子月佛本生經 	ZH0540	1	1	24	24	
LQ0819	佛說十二頭陀經 	ZH0541	1	1	24	24	
LQ0681	佛說樹提伽經(別本) 	ZH0543	1	1	24	24	
LQ0221	長壽王經 	ZH0544	1	1	24	24	
LQ0843	佛說甚深大逥向經 	ZH0545	1	1	24	24	
LQ0601	佛說十吉祥經 	ZH0546	1	1	24	24	
LQ0243	一切智光明仙人慈心因緣不食肉經 	ZH0547	1	1	24	24	
LQ0817	佛說菩薩內習六波羅蜜經 	ZH0548	1	1	24	24	
LQ0700	佛說長者法志妻經 	ZH0549	1	1	24	24	
LQ0232	佛說菩薩投身飴餓虎起塔因緣經 	ZH0550	1	1	24	24	
LQ0717	佛說天王太子辟羅經 	ZH0551	1	1	24	24	
LQ0707	佛說長者女菴提遮師子吼了義經 	ZH0552	1	1	24	24	
LQ0431	佛說法滅盡經 	ZH0553	1	1	24	24	
LQ0048	佛說八大人覺經 	ZH0554	1	1	24	24	
LQ0670	佛說薩羅國經 	ZH0555	1	1	24	24	
LQ0811	佛說四輩經 	ZH0556	1	1	24	24	
LQ0809	佛說三品弟子經 	ZH0557	1	1	24	24	
LQ0240	佛說過去世佛分衛經 	ZH0558	1	1	24	24	
LQ0430	佛說當來變經 	ZH0559	1	1	24	24	
LQ0837	佛說法常住經 	ZH0560	1	1	24	24	
LQ0304	金剛三昧經 	ZH0561	1	1	24	24	
LQ1651	菩薩地持經 	ZH0562	10	10	24	24	
LQ1652-1	菩薩善戒經 	ZH0563	9	9	24	24	
LQ1561	佛說淨業障經 	ZH0564	1	1	24	24	
LQ1549	優婆塞戒經 	ZH0565	7	7	24	24	
LQ1545	梵網經	ZH0566	2	2	24	24	
LQ1547	受十善戒經 	ZH0567	1	1	24	24	
LQ1550	佛藏經 	ZH0568	3	3	24	24	
LQ1546	菩薩瓔珞本業經 	ZH0569	2	2	24	24	
LQ1567	菩薩戒本(慈氏菩薩說) 	ZH0570	1	1	24	24	
LQ1568	菩薩戒本(彌勒菩薩說) 	ZH0572	1	1	24	24	
LQ1566	菩薩戒羯磨文	ZH0573	1	1	24	24	
LQ1548	佛說菩薩內戒經	ZH0574	1	1	25	25	
LQ1569	優婆塞五戒威儀經	ZH0575	1	1	25	25	
LQ1553	佛說文殊師利凈律經	ZH0576	1	1	25	25	
LQ1556	佛說文殊悔過經	ZH0577	1	1	25	25	
LQ1552	清淨毗尼方廣經	ZH0578	1	1	25	25	
LQ1554	寂調音所問經	ZH0579	1	1	25	25	
LQ1560	大乘三聚懺悔經	ZH0580	1	1	25	25	
LQ1558	菩薩藏經	ZH0581	1	1	25	25	
LQ1557	三曼陀跋陀羅菩薩經	ZH0582	1	1	25	25	
LQ1570	菩薩受齋經	ZH0583	1	1	25	25	
LQ1559	佛說舍利佛悔過經	ZH0584	1	1	25	25	
LQ1551	佛說法律三昧經	ZH0585	1	1	25	25	
LQ0719	十善業道經	ZH0586	1	1	25	25	
LQ1576	大智度論 	ZH0587	100	100	25	26	
LQ1589	十地論 	ZH0588	12	12	26	26	
LQ1592	彌勒菩薩所問經	ZH0589	9	9	26	26	
LQ1593	寶髻經四法憂波提舍 	ZH0591	1	1	26	26	
LQ1577-1	金剛般若論 	ZH0593	2	2	27	27	
LQ1577-2	金剛般若波羅蜜經論(別本) 	ZH0594	3	3	27	27	
LQ1581	能斷金剛般若波羅蜜多經論頌 	ZH0595	1	1	27	27	
LQ1580	能斷金剛般若波羅蜜多經論釋 	ZH0596	3	3	27	27	
LQ1579	金剛般若波羅蜜經論 	ZH0597	3	3	27	27	
LQ1582	金剛般若波羅蜜經破取著不壞假名論 	ZH0598	2	2	27	27	
LQ1598	文殊師利菩薩問菩提經論 	ZH0599	2	2	27	27	
LQ1587-1	妙法蓮華經論優波提舍 	ZH0600	1	1	27	27	
LQ1587-2	妙法蓮華經論優波提舍(別本) 	ZH0601	2	2	27	27	
LQ1599	勝思惟梵天所問經論 	ZH0602	4	4	27	27	
LQ1599	勝思惟梵天所問經論 	ZH0602	4	4	27	27	
LQ1586	妙法蓮華經憂波提舍 	ZH0603	2	2	27	27	
LQ1596	遺教經論 	ZH0604	1	1	27	27	
LQ1591	無量壽經優波提舍願生偈 	ZH0605	1	1	27	27	
LQ1595	涅槃經本有今無偈論 	ZH0606	1	1	27	27	
LQ1594	涅槃論 	ZH0607	1	1	27	27	
LQ1601	三具足經優波提舍 	ZH0608	1	1	27	27	
LQ1600	轉法輪經憂波提舍	ZH0609	1	1	27	27	
LQ1649	瑜伽師地論 	ZH0610	100	100	27	28	
LQ1672	顯揚聖教論 	ZH0611	20	20	28	28	
LQ1675	大乘阿毗達磨集論 	ZH0612	7	7	28	28	
LQ1673	顯揚聖教論誦	ZH0613	1	1	28	28	
LQ1685	王法正理論 	ZH0614	1	1	28	28	
LQ1650	瑜伽師地論釋 	ZH0615	1	1	28	28	
LQ1676	大乘阿毗達磨雜集論 	ZH0616	16	16	28	28	
LQ1633	中論 	ZH0617	4	4	28	28	
LQ1636	般若燈論釋 	ZH0618	15	15	28	29	
LQ1638	十二門論 	ZH0619	1	1	29	29	
LQ1686	十八空論 	ZH0620	1	1			
LQ1639	百論 	ZH0621	2	2			
LQ1640	廣百論本 	ZH0622	1	1			
LQ1641	大乘廣百論釋論 	ZH0623	10	10			
LQ1588	十住毗婆沙論 	ZH0624	17	17			
LQ1730	菩提資糧論 	ZH0625	6	6			
LQ1674	大乘莊嚴經論 	ZH0626	13	13			
LQ0195	大莊嚴論經 	ZH0627	15	15			
LQ1663	攝大乘論 	ZH0628	3	3			
LQ1635	順中論義入大般若波羅蜜經初品法門 	ZH0629	2	2			
LQ1666	攝大乘論釋 	ZH0630	15	15	29	29	
LQ1664	攝大乘論 	ZH0631	2	2	30	30	
LQ1662	攝大乘論本 	ZH0632	3	3	30	30	
LQ1667	攝大乘論釋論 	ZH0633	10	10	30	30	
LQ1665	攝大乘論釋 	ZH0634	10	10	30	30	
LQ1680	佛性論 	ZH0636	4	4	30	30	
LQ1670	中邊分別論 	ZH0637	2	2	30	30	
LQ1653	決定藏論 	ZH0638	3	3	30	30	
LQ1681	究竟一乘寶性論 	ZH0639	4	4	30	30	
LQ1669	辯中邊論 	ZH0640	3	3	30	30	
LQ1671	辯中邊論頌 	ZH0641	1	1	30	30	
LQ1679	業成就論 	ZH0642	1	1	30	30	
LQ1678	大乘成業論 	ZH0643	1	1	30	30	
LQ1718	因明正理門論本 	ZH0644	1	1	30	30	
LQ1661	成唯識寶生論 	ZH0645	5	5	30	30	
LQ1655	唯識三十論頌 	ZH0647	1	1	30	30	
LQ1655	唯識三十論頌 	ZH0647	1	1	30	30	
LQ1720	因明入正理論 	ZH0648	1	1	30	30	
LQ1660	唯識二十論 	ZH0649	1	1	30	30	
LQ1659	大乘唯識論 	ZH0650	1	1	30	30	
LQ1656	顯識論 	ZH0651	1	1	30	30	
LQ1657	轉識論 	ZH0652	1	1	30	30	
LQ1658	唯識論 	ZH0653	1	1	30	30	
LQ1654	成唯識論 	ZH0654	10	10	30	30	
LQ1647	大丈夫論 	ZH0655	2	2	30	30	
LQ1736	大乘起信論 	ZH0656	1	1	30	30	
LQ1715	寶行王正論 	ZH0657	1	1	30	30	
LQ1683	大乘廣五薀論 	ZH0658	1	1	30	30	
LQ1682	大乘五薀論 	ZH0659	1	1	30	30	
LQ1648	大乘掌珍論 	ZH0660	2	2	30	30	
LQ1724	入大乘論 	ZH0661	1	1	30	30	
LQ1687	三無性論 	ZH0662	2	2	30	30	
LQ1737	大乘起信論 	ZH0663	2	2	30	30	
LQ1729	發菩提心經論 	ZH0664	2	2	30	30	
LQ1722	方便心論 	ZH0666	1	1	30	30	
LQ1693	觀所緣緣論 	ZH0667	1	1	30	30	
LQ1692	無相思塵論 	ZH0668	1	1	30	30	
LQ1694	觀所緣論釋 	ZH0669	1	1	30	30	
LQ1721	迴諍論 	ZH0670	1	1	30	30	
LQ1642	百字論 	ZH0671	1	1	30	30	
LQ1643	壹輸盧迦論 	ZH0672	1	1	30	30	
LQ1677	六門教授習定論 	ZH0673	1	1	30	30	
LQ1716	手杖論 	ZH0674	1	1	30	30	
LQ1691	觀總相論頌 	ZH0675	1	1	30	30	
LQ1690	取因假設論 	ZH0676	1	1	30	30	
LQ1688	掌中論 	ZH0677	1	1	30	30	
LQ1714	止觀門論頌 	ZH0678	1	1	30	30	
LQ1696	大乘法界無差別論 	ZH0679	1	1	30	30	
LQ1697	大乘法界無差別論(一名如來藏經) 	ZH0680	1	1	30	30	
LQ1711	緣生論 	ZH0681	1	1	30	30	
LQ1699	提婆菩薩釋楞伽經中外道小乘涅槃論 	ZH0682	1	1	30	30	
LQ1689	解捲論 	ZH0683	1	1	30	30	
LQ2487	大乘百法明門論 	ZH0684	1	1	30	30	
LQ1698	提婆菩薩破楞伽經中外道小乘四宗論 	ZH0685	1	1	30	30	
LQ1710	十二因緣論 	ZH0686	1	1	30	30	
LQ0001	佛說長阿含經	ZH0687	22	22	31	31	
LQ0028	中阿含經	ZH0688	60	60	31	31	
LQ0144	增壹阿含經	ZH0689	51	51	32	32	
LQ0102	雜阿含經	ZH0690	50	50	32	33	
LQ0103	別譯雜阿含經	ZH0691	16	16	33	33	
LQ0007	大般涅槃經	ZH0692	3	3	33	33	
LQ0005	佛般泥洹經	ZH0693	2	2	33	33	
LQ0006	般泥洹經	ZH0694	2	2	33	33	
LQ0015	佛說人本欲生經	ZH0695	1	1	33	33	
LQ0018	佛說尸迦羅越六方禮經	ZH0696	1	1	33	33	
LQ0022	佛說梵志阿颰經	ZH0697	1	1	33	33	
LQ0024	佛說寂志果經	ZH0698	1	1	33	33	
LQ0023	佛說梵網六十二見經	ZH0699	1	1	33	33	
LQ0026	起世經	ZH0700	10	10	33	33	
LQ0027	起世因本經	ZH0701	10	10	33	33	
LQ0025	大樓炭經	ZH0702	6	6	33	33	
LQ0190	中本起經	ZH0704	2	2	33	33	
LQ0014	長阿含十報法經	ZH0706	2	2	33	33	
LQ0029	佛說七知經	ZH0707	1	1	34	34	
LQ0058	佛說樂想經	ZH0708	1	1	34	34	
LQ0049	佛說離睡經	ZH0709	1	1	34	34	
LQ0057	佛說苦陰因事經	ZH0710	1	1	34	34	
LQ0050	佛說是法非法經	ZH0711	1	1	34	34	
LQ0055	佛說苦陰經	ZH0712	1	1	34	34	
LQ0047	佛說阿那律八念經	ZH0713	1	1	34	34	
LQ0061	佛說諸法本經	ZH0714	1	1	34	34	
LQ0069	弊魔試目連經	ZH0715	1	1	34	34	
LQ0031	佛說鹹水喻經	ZH0716	1	1	34	34	
LQ0051	佛說求欲經	ZH0717	1	1	34	34	
LQ0053	佛說梵志計水淨經	ZH0718	1	1	34	34	
LQ0038	佛說本相猗致經	ZH0719	1	1	34	34	
LQ0041	佛說頂生王故事經	ZH0720	1	1	34	34	
LQ0039	佛說緣本致經	ZH0721	1	1	34	34	
LQ0065	佛說瞻婆比丘經	ZH0722	1	1	34	34	
LQ0042	佛說文陀竭王經	ZH0723	1	1	34	34	
LQ0046	佛說古來世時經	ZH0724	1	1	34	34	
LQ0033	佛說一切流攝守因經	ZH0725	1	1	34	34	
LQ0067	佛說伏婬經	ZH0726	1	1	34	34	
LQ0034	佛說四諦經	ZH0727	1	1	34	34	
LQ0060	佛說阿耨風經	ZH0728	1	1	34	34	
LQ0035	佛說恒水經	ZH0729	1	1	34	34	
LQ0045	佛說閻羅王五天使者經	ZH0730	1	1	34	34	
LQ0062	佛說瞿曇彌記果經	ZH0731	1	1	34	34	
LQ0044	佛說䥫城泥犁經	ZH0732	1	1	34	34	
LQ0052	佛說受歲經	ZH0733	1	1	34	34	
LQ0056	佛說釋摩男本四子經	ZH0734	1	1	34	34	
LQ0059	佛說漏分布經	ZH0735	1	1	34	34	
LQ0068	佛說魔嬈亂經	ZH0736	1	1	34	34	
LQ0082	佛說鸚鵡經	ZH0737	1	1	34	34	
LQ0148	佛說四人出現世間經	ZH0738	1	1	34	34	
LQ0155	佛說食施獲五福報經	ZH0739	1	1	34	34	
LQ0096	佛說婆羅門子命終愛念不離經	ZH0741	1	1	34	34	
LQ0093	優陂夷墮舍迦經	ZH0742	1	1	34	34	
LQ0074	佛說三歸五戒慈心猒離功德經	ZH0743	1	1	34	34	
LQ0154	佛說婆羅門避死經	ZH0744	1	1	34	34	
LQ0098	佛說邪見經	ZH0745	1	1	34	34	
LQ0072	佛說數經	ZH0746	1	1	34	34	
LQ0095	佛說鞞摩肅經	ZH0747	1	1	34	34	
LQ0087	佛說應法經	ZH0748	1	1	34	34	
LQ0099	佛說箭喻經	ZH0749	1	1	34	34	
LQ0092	佛說齋經	ZH0751	1	1	34	34	
LQ0078	梵摩喻經	ZH0752	1	1	34	34	
LQ0081	佛說兜調經	ZH0753	1	1	34	34	
LQ0097	佛說十支居士八城人經	ZH0754	1	1	34	34	
LQ0157	佛說頻婆娑羅王詣佛供養經	ZH0755	1	1	34	34	
LQ0019	佛說善生子經	ZH0757	1	1	34	34	
LQ0086	佛說意經	ZH0758	1	1	34	34	
LQ0159	佛說長者子六過出家經	ZH0759	1	1	34	34	
LQ0080	佛說尊上經	ZH0760	1	1	34	34	
LQ0137	佛說鴦掘摩經	ZH0761	1	1	34	34	
LQ0151	佛說阿含經須摩提女度眾生品	ZH0762	1	1	34	34	
LQ0100	廣義法門經	ZH0764	1	1	34	34	
LQ0143	佛說波斯匿王太后崩塵土坌身經	ZH0765	1	1	34	34	
LQ0091	佛說泥犁經	ZH0766	1	1	34	34	
LQ0135	佛說戒德香經	ZH0767	1	1	34	34	
LQ0073	梵志頞波羅延問種尊經	ZH0768	1	1	34	34	
LQ0077	佛為黃竹園老婆羅門說學經	ZH0769	1	1	34	34	
LQ0070	佛說賴吒和羅經	ZH0770	1	1	34	34	
LQ0075	佛說須達經	ZH0771	1	1	34	34	
LQ0130	佛說八正道經	ZH0772	1	1	34	34	
LQ0138	佛說鴦崛髻經	ZH0773	1	1	34	34	
LQ0131	佛說難提釋經	ZH0774	1	1	34	34	
LQ0124	佛說相應相可經	ZH0775	1	1	34	34	
LQ0122	佛說三轉法輪經	ZH0776	1	1	34	34	
LQ0105	五蘊皆空經	ZH0777	1	1	34	34	
LQ0167	佛說四泥犁經	ZH0778	1	1	34	34	
LQ0112	佛說水沫所漂經	ZH0779	1	1	34	34	
LQ0175	佛說舍衛國王十夢經	ZH0780	1	1	34	34	
LQ0166	佛說十一想思念如來經	ZH0781	1	1	34	34	
LQ0002	七佛父母姓字經	ZH0782	1	1	34	34	
LQ0133	佛說馬有八態譬人經	ZH0783	1	1	34	34	
LQ0172	佛說大愛道般泥洹經	ZH0784	1	1	34	34	
LQ0174	舍衛國王夢見十事經	ZH0785	1	1	34	34	
LQ0118	緣起經	ZH0786	1	1	34	34	
LQ0114	佛說不自守意經	ZH0787	1	1	34	34	
LQ0106	佛說七處三觀經	ZH0788	1	1	34	34	
LQ0168	阿那邠𥘡化七子經	ZH0789	1	1	34	34	
LQ0176	國王不梨先泥十夢經	ZH0790	1	1	34	34	
LQ0163	舍利弗摩訶目連遊四衢經	ZH0791	1	1	34	34	
LQ0119	佛說滿願子經	ZH0792	1	1	34	34	
LQ0161	佛說力士移山經	ZH0793	1	1	34	34	
LQ0108	佛說聖法印經	ZH0794	1	1	34	34	
LQ0158	佛說阿難同學經	ZH0795	1	1	34	34	
LQ0162	佛說四未曾有法經	ZH0796	1	1	34	34	
LQ0121	佛說轉法輪經	ZH0798	1	1	34	34	
LQ0111	五陰譬喻經	ZH0799	1	1	34	34	
LQ0520	治禪病秘要法	ZH0800	2	2	34	34	
LQ0104	雜阿含經	ZH0801	1	1	34	34	
LQ0164	佛說放牛經	ZH0802	1	1	34	34	
LQ0589	佛說枯樹經	ZH0803	1	1	34	34	
LQ0173	佛母般泥洹經	ZH0804	1	1	34	34	
LQ0132	佛說馬有三相經	ZH0805	1	1	34	34	
LQ0507	沙彌羅經	ZH0806	1	1	34	34	
LQ0170	玉耶經	ZH0807	1	1	34	34	
LQ0502	佛說摩鄧女經	ZH0808	1	1	34	34	
LQ0171	佛說阿遬達經	ZH0809	1	1	34	34	
LQ0553	佛說鬼問目連經	ZH0810	1	1	34	34	
LQ0467	佛說阿難問事佛吉凶經	ZH0811	1	1	34	34	
LQ0503	佛說摩登女解形中六事經	ZH0813	1	1	34	34	
LQ0554	餓鬼報應經	ZH0814	1	1	34	34	
LQ0552	佛說雜藏經	ZH0815	1	1	34	34	
LQ1342	舍頭諫太子二十八宿經	ZH0816	1	1	34	34	
LQ0181	修行本起經	ZH0817	2	2	34	34	
LQ1341	摩登伽經	ZH0818	2	2	34	34	
LQ0506	五母子經	ZH0819	1	1	34	34	
LQ0469	佛說阿難分別經	ZH0821	1	1	34	34	
LQ0169	佛說玉耶女經	ZH0822	1	1	34	34	
LQ0468	佛說慢法經	ZH0824	1	1	34	34	
LQ0182	佛說太子瑞應本起經	ZH0825	2	2	34	34	
LQ0493	佛說長者音悅經	ZH0826	1	1	34	34	
LQ0180	過去現在因果經	ZH0827	4	4	34	34	
LQ0579	四十二章經	ZH0828	1	1	34	34	
LQ0037	佛說海八德經	ZH0830	1	1	34	34	
LQ0517	龍王兄弟經	ZH0831	1	1	34	34	
LQ0544	佛說罪業應報教化地獄經	ZH0832	1	1	34	34	
LQ0504	佛說㮈女祇域因緣經	ZH0833	1	1	34	34	
LQ0505	佛說柰女耆婆經(別本)	ZH0834	1	1	34	34	
LQ0036	法海經	ZH0835	1	1	34	34	
LQ0508	佛說七女經	ZH0836	1	1	34	34	
LQ0079	佛說蓱沙王五願經	ZH0837	1	1	34	34	
LQ0513	佛說八師經	ZH0838	1	1	34	34	
LQ0156	佛說琉璃王經	ZH0839	1	1	34	34	
LQ0559	所欲致患經	ZH0840	1	1	34	34	
LQ0556	佛說堅意經	ZH0841	1	1	34	34	
LQ0152	佛說三摩竭經	ZH0842	1	1	34	34	
LQ0482	阿闍世王問五逆經	ZH0843	1	1	34	34	
LQ0511	佛說貧窮老公經	ZH0844	1	1	34	34	
LQ0580	得道梯橙錫杖經	ZH0846	1	1	34	34	
LQ0494	佛說越難經	ZH0847	1	1	34	34	
LQ0586	佛說進學經	ZH0848	1	1	34	34	
LQ0483	佛說淨飯王般涅槃經	ZH0849	1	1	34	34	
LQ0562	五苦章句經	ZH0850	1	1	34	34	
LQ0519	禪秘要法經	ZH0851	3	3	34	34	
LQ0179	生經	ZH0852	5	5	34	34	
LQ0192	佛說義足經	ZH0853	2	2	34	34	
LQ0542	正法念處經	ZH0854	70	70	34	35	
LQ0184	佛本行集經	ZH0855	60	60	34	35	
LQ0577	本事經	ZH0856	7	7	36	36	
LQ0191	佛說興起行經	ZH0857	2	2	36	36	
LQ0083	佛為首迦長者說業報差別經	ZH0858	1	1	36	36	
LQ0518	佛說大安般守意經	ZH0859	2	2	36	36	
LQ0521	陰持入經	ZH0860	2	2	36	36	
LQ0550	佛說處處經	ZH0861	1	1	36	36	
LQ0555	佛說罵意經	ZH0862	1	1	36	36	
LQ0549	佛說分別善惡所起經	ZH0863	1	1	36	36	
LQ0581	佛說出家功德因緣經	ZH0864	1	1	36	36	
LQ0551	佛說十八泥犁經	ZH0866	1	1	36	36	
LQ0178	佛說阿含正行經	ZH0867	1	1	36	36	
LQ0523	禪行法想經	ZH0868	1	1	36	36	
LQ0490	佛說長者子懊惱三處經	ZH0869	1	1	36	36	
LQ0492	佛說須摩提長者經	ZH0870	1	1	36	36	
LQ0208	佛說猘狗經	ZH0871	1	1	36	36	
LQ0470	佛說阿難四事經	ZH0872	1	1	36	36	
LQ0512	佛說黑氏梵志經	ZH0873	1	1	36	36	
LQ0557	佛說四願經	ZH0874	1	1	36	36	
LQ0481	佛說未生冤經	ZH0875	1	1	36	36	
LQ0491	佛說阿鳩留經	ZH0876	1	1	36	36	
LQ0094	佛說八關齋經	ZH0877	1	1	36	36	
LQ0560	佛說分別經	ZH0878	1	1	36	36	
LQ0582	佛說法受塵經	ZH0879	1	1	36	36	
LQ0480	犍陀國王經	ZH0880	1	1	36	36	
LQ0537	佛說孝子經	ZH0881	1	1	36	36	
LQ0479	佛說見正經	ZH0883	1	1	36	36	
LQ0538	燈指因緣經	ZH0884	1	1	36	36	
LQ0193	佛五百弟子自說本起偈經	ZH0885	1	1	36	36	
LQ0558	佛說四自侵經	ZH0886	1	1	36	36	
LQ0563	佛說自愛經	ZH0887	1	1	36	36	
LQ0565	佛說罪福報應經	ZH0888	1	1	36	36	
